"趋势","搜索量","已开始","已结束","趋势细分","浏览链接"
"lottery","10万+","2026年6月21日 UTC+8 23:50:00",,"lottery,florida lottery","./explore?q=lottery&geo=US"
"uruguay vs cabo verde","100万+","2026年6月21日 UTC+8 21:30:00",,"uruguay vs cabo verde,cape verde vs uruguay,cabo verde world cup,cape verde world cup,cape verde,cabo verde,uruguay world cup,uruguay vs cape verde,uruguay,cabo verde vs uruguay,cape verde football,where is cape verde,uruguay vs,uruguay vs cape verde prediction,cabo verde national football team,uruguay football,darwin nunez,group h,cpv,uruguay national football team,cpv world cup,cabo verde vs,uruguay vs. cabo verde,kevin pina,cape verde game,cape verde soccer,federico viñas,cape verde national football team games,agustín canobbio,cape verde uruguay,uruguay soccer,uruguay cabo verde,uruguay fc,uruguay national football team vs cape verde national football team lineups,uruguay cape verde,uruguay vs cabo verde world cup 2026,uruguay game,uruguay national football team vs cape verde national football team stats,uruguay world cup wins,uru vs cpv,cape verde national football team,cape verde vs,cape verde score,group h world cup 2026,luis suarez world cup,darwin núñez,maxi araujo,world cup group h,cabo verde game,cabo verde soccer,marcelo bielsa,where is uruguay playing today,ryan mendes,hélio varela,cpv country world cup,cape.verde,who is uruguay playing today,cape verde goal,uruguay standings,rodrigo bentancur,group h world cup,uruguay score,cape verde group,urugay,uruguay vs spain,uruguay world cup schedule,uruguay group,cabo verde fifa,uruguay vs cabo verde prediction,cape verde vs saudi arabia,steven moreira,cape verde fifa,uruguay national football team vs cape verde national football team,kevin pina cape verde,bubista,agustin canobbio,standings world cup,is suarez playing in the world cup 2026,uruguay cape verde prediction","./explore?q=uruguay%20vs%20cabo%20verde&geo=US"
"new zealand vs egypt","50万+","2026年6月22日 UTC+8 04:40:00",,"new zealand vs egypt,egypt vs new zealand,egypt world cup,mo salah,egypt,mohamed salah,new zealand vs egypt prediction,new zealand,new zealand world cup,egypt national football team,world cup standing,egypt vs,egypt new zealand,group g world cup 2026,salah,group g,group g standings,egypt soccer,omar marmoush,vancouver,new zealand national football team,nz vs egypt,egypt vs new zealand prediction,trezeguet egypt,egypt game,new zealand vs egypt world cup 2026,egypt fc,fifa world cup football,finn surman,new zealand national football team vs egypt national football team standings,world cup group g,new zealand egypt,new zealand soccer,world cup group standings,fifa world cup soccer,new zealand national football team vs egypt national football team stats,egypt vs new zealand world cup,egypt score,has egypt ever won a world cup game,new zealand vs,all whites new zealand,marmoush,salah soccer player,new zealand all whites,zico egypt,egypt game today,egypt fifa ranking,m salah,has uruguay won a world cup,hossam hassan,zico,salah egypt,egypt national football team games,egypt vs new zealand live,iran vs egypt,bc place,egypt fifa,egypt group,group g world cup,group g standings world cup,max crocombe,surman new zealand,all whites,mo salah world cup,vancouver stadium,mostafa zico,world cup group g standings","./explore?q=new%20zealand%20vs%20egypt&geo=US"
"house of the dragon season 3","20万+","2026年6月21日 UTC+8 21:10:00",,"house of the dragon season 3,game of thrones,rhaenyra targaryen,house of dragon season 3,hbomax,jace targaryen,house of dragons,hbo max,house of the dragon season 3 dragons,hbo,house of the dragon season 3 episode 1,house of dragon,house of dragon cast,battle of the gullet,sheepstealer,what time does house of dragon come out,sheepstealer dragon,house of the dragon season 3 release date,hotd,house of the dragon season 3 time,hotd season 3,hbo max free trial,jacaerys velaryon,when does house of the dragon season 3 come out,when does house of the dragon come out,what time is house of dragons on tonight,what time does house of the dragon release,what time is house of the dragon,jace house of the dragon,what time does house of dragon come on,house of dragons season 3 release date,house of the dragon season 2,vermax,house of the dragon season 3 cast,how does jace die in house of the dragon,emma d'arcy,house of the dragon episode 1,does jace die in house of the dragon","./explore?q=house%20of%20the%20dragon%20season%203&geo=US"
"michael feldman savannah guthrie relationship","5万+","2026年6月22日 UTC+8 06:00:00",,"michael feldman savannah guthrie relationship","./explore?q=michael%20feldman%20savannah%20guthrie%20relationship&geo=US"
"unruly aircraft passenger","5万+","2026年6月22日 UTC+8 02:30:00",,"unruly aircraft passenger,american airlines flight misconduct","./explore?q=unruly%20aircraft%20passenger&geo=US"
"what is french fries love island","5万+","2026年6月22日 UTC+8 09:20:00",,"what is french fries love island,french fry love island,french fries love island meaning,what does french fries mean love island,love island french fries,what does getting french fries mean,what does french fry mean on love island,what does getting french fries mean love island,what does french fries mean,getting french fries love island,what does doing french fries mean,what does getting french fried mean,french fry love island meaning,getting french fries meaning,french fry meaning love island,what does getting some french fries mean,what does it mean to get french fries,what is french fry kissing,what is getting french fries","./explore?q=what%20is%20french%20fries%20love%20island&geo=US"
"iran vs belgium","20万+","2026年6月22日 UTC+8 00:10:00",,"iran vs belgium,iran world cup,belgium world cup,belgium,iran belgium,belgium iran,kevin de bruyne,lukaku,belgica vs iran,nathan ngoy,romelu lukaku,belgium national football team,alireza beiranvand,belgium vs,iran soccer,iran national football team,belgium soccer,iran vs,belgica,iran game,belgium red card,belgium football,belgium national football team vs iran national football team stats,thibaut courtois,de bruyne,ir iran,belgium national football team vs iran national football team lineups,mehdi taremi,belgium game,bélgica vs. irán,courtois,belgium vs ir iran world cup 2026,leandro trossard,iran v belgium,iran goalkeeper,iran score,alexis saelemaekers,belgium v iran,belgium score,belgium group,taremi,belgium goalkeeper,ramin rezaeian,beiranvand,ngoy belgium,ngoy red card,iran belgium game,iran goal,belgium national football team vs iran national football team,iran group world cup 2026,belgium national football team games,arthur theate,red card belgium,belgium national football team vs iran national football team timeline,belgium vs iran red card,belgium iran prediction,2026,lukaku belgium,taremi iran,iran group,belgium vs iran tickets,rudi garcia,iran soccer team,belgium fifa ranking,thomas meunier,belgium group world cup,belgium red card today,nathan ngoy red card,hope","./explore?q=iran%20vs%20belgium&geo=US"
"brady tkachuk","5万+","2026年6月22日 UTC+8 05:40:00",,"brady tkachuk,florida panthers,brady tkachuk trade,matthew tkachuk,tkachuk brothers,tkachuk,brady tkachuk contract,nhl news,panthers,brady tkachuk stats","./explore?q=brady%20tkachuk&geo=US"
"amazon.com","10万+","2026年6月22日 UTC+8 05:40:00",,"amazon.com,prime day 2026,prime day,amazon prime day 2026,when is prime day,amazon prime day,when is prime day 2026,when is amazon prime day 2026","./explore?q=amazon.com&geo=US"
